size, hybrid
100 79
200 179
300 325
400 469
500 580
600 659
700 809
800 907
900 1044
1000 1136
1100 1266
1200 1622
1300 1876
1400 1828
1500 1827
1600 1963
1700 2508
1800 2796
1900 2325
2000 2467
2100 2605
2200 2713
2300 2851
2400 2984
2500 3169
2600 3311
2700 3467
2800 3636
2900 3696
3000 3828
3100 3953
3200 4100
3300 4261
3400 4456
3500 4533
3600 4687
3700 4995
3800 4986
3900 5173
4000 5219
4100 5441
4200 5566
4300 5702
4400 5995
4500 6039
4600 6069
4700 6225
4800 6422
4900 6564
5000 6769
5100 6934
5200 7006
5300 7095
5400 7331
5500 7552
5600 7842
5700 7801
5800 7869
5900 8068
6000 8249
6100 8336
6200 8391
6300 8659
6400 9151
6500 8974
6600 9098
6700 9228
6800 9274
6900 9623
7000 9532
7100 9743
7200 9805
7300 10251
7400 10135
7500 10328
7600 10484
7700 10532
7800 10666
7900 11325
8000 11132
8100 11131
8200 11276
8300 12201
8400 11563
8500 11801
8600 12077
8700 11964
8800 12117
8900 12542
9000 12649
9100 12793
9200 12917
9300 13023
9400 13272
9500 13421
9600 13532
9700 13644
9800 13766
9900 13778
10000 13981
