size Insertion Quick Heap Radix
100 16603 7472 14197 18610
200 76288 20290 61717 40128
300 153382 127256 55915 53777
400 316119 45710 85184 79853
500 344197 48832 89655 78693
600 499272 61077 112125 95529
700 730489 75785 139879 119410
800 972030 89938 164599 137629
900 1086258 93629 173764 146147
1000 1337584 106403 191934 163152
1100 1592337 117488 215929 183103
1200 1867028 131131 240286 191585
1300 2163127 139682 259577 216193
1400 2603992 156162 291962 235830
1500 2925391 163608 309869 245345
1600 3272326 173613 332818 259786
1700 3676754 187020 348072 290412
1800 4104099 196208 373813 292248
1900 4579649 209895 394701 308811
2000 5046305 218587 420995 324522
2100 5567736 230092 445453 348765
2200 6125421 242445 460980 362039
2300 6762612 256721 488881 382519
2400 7255672 268707 512631 387336
2500 7916712 279855 542025 409240
2600 8589437 296219 565863 434644
2700 9226086 305734 584901 446735
2800 9852176 322159 615726 469047
2900 10602887 330735 640961 476608
3000 11377191 345456 661036 500306
3100 12069252 355747 689118 513544
3200 13313590 366768 711133 535930
3300 13707170 379165 744484 555741
3400 14499381 390132 758558 567464
3500 15409497 403252 789658 583793
3600 16343245 415905 811987 599393
3700 17185765 428188 832163 614799
3800 18172281 446755 864159 630886
3900 19136244 453703 886650 649096
4000 20143379 461700 924599 667710
4100 21114539 484505 943384 684579
4200 22059495 493107 959189 698028
4300 23331068 504517 994484 721654
4400 24302963 511214 1029480 744334
4500 25446196 533345 1052834 754155
4600 26559615 543144 1072023 770971
4700 27692321 561373 1109484 786216
4800 28856313 568969 1123863 809617
4900 30103023 576106 1149494 825658
5000 31385275 592211 1170443 846238
5100 32619475 604973 1199781 855393
5200 33921816 614319 1225067 873640
5300 35638074 625936 1273155 898630
5400 36715304 642310 1294731 914898
5500 38060840 651161 1305815 924305
5600 39307264 665588 1324202 944451
5700 40765282 682282 1363498 959388
5800 42576826 695683 1395513 977935
5900 43502221 709162 1422953 993837
6000 45094643 721997 1432775 1003108
6100 46431527 726516 1461664 1015971
6200 48305417 742131 1502822 1053668
6300 49835073 755223 1524539 1063719
6400 51411405 765823 1562496 1078971
6500 53058310 786784 1585624 1198413
6600 54649432 799030 1599274 1167805
6700 56368019 816578 1630875 1181839
6800 57958563 822167 1656712 1175976
6900 59897008 830689 1690158 1180555
7000 61464953 843171 1707998 1178521
7100 63248110 857101 1748472 1203923
7200 64929658 884648 1771817 1212711
7300 66982598 885945 1793682 1232047
7400 69181432 902179 1840191 1260843
7500 70662035 905275 1849074 1288561
7600 73089133 928414 1880664 1295367
7700 74425705 938280 1907137 1302787
7800 76510576 961265 1927152 1321815
7900 78236458 970089 1951048 1329823
8000 80247417 970003 1976918 1355557
8100 82887513 1002509 2022226 1376448
8200 84352896 1014331 2038533 1372371
8300 86514816 1021896 2059882 1397639
8400 88579072 1040045 2088440 1412580
8500 90807097 1040103 2127717 1437821
8600 92945881 1060414 2151230 1464519
8700 94845447 1071697 2177665 1463614
8800 97026198 1079705 2198626 1487714
8900 99541832 1094609 2217944 1492428
9000 101682219 1116758 2248402 1509500
9100 103639965 1139818 2280112 1523458
9200 105879631 1133937 2307589 1543889
9300 108640352 1150743 2354070 1559320
9400 110824967 1158766 2373291 1616067
9500 112945327 1182093 2393384 1611962
9600 115574356 1187460 2424074 1610164
9700 117926738 1197200 2444104 1623626
9800 120343268 1217686 2563241 1646153
9900 123108161 1232203 2508183 1699066
10000 125055584 1255587 2530990 1687046
