size, insert qucik heap radix
1 38 39 45 1674
2 61 80 70 1896
3 73 102 98 2034
4 100 131 149 2215
5 132 172 191 2210
6 166 230 269 2582
7 212 310 345 2509
8 261 356 445 2511
9 277 411 486 2905
10 318 610 761 3835
11 363 554 647 3451
12 433 589 777 3815
13 711 714 926 4380
14 639 827 1155 4995
15 728 1113 1453 5355
16 656 883 1352 4241
17 719 909 1202 4474
18 1013 1383 1485 5245
19 805 1019 1392 4646
20 1012 1089 1540 4547
21 1141 1172 2032 5240
22 1018 1209 1752 4839
23 1135 1274 1849 5020
24 1176 1351 1971 5153
25 1326 1525 2248 5836
26 1374 1512 2235 5648
27 1440 1549 2287 5523
28 1509 1618 2425 5714
29 1611 1723 2535 5850
30 1692 1731 2675 6005
31 1787 2136 2931 5918
32 2299 2051 3486 6959
33 2800 2415 3694 7395
34 2418 2468 4077 7937
35 2282 2123 3220 7172
36 2246 2146 3498 7112
37 2430 2481 3391 7186
38 2853 2264 3550 7179
39 2692 3105 3658 7649
40 2634 2525 3762 7860
41 2751 2467 3863 7163
42 2903 2742 4053 7645
43 3148 2708 4130 7868
44 3106 2711 4231 7544
45 3296 2720 4339 7604
46 3780 3513 5294 9000
47 3746 3130 4859 8335
48 4389 3109 5228 9127
49 3831 3089 4893 8181
50 3898 3189 4973 8184
51 4155 3429 5178 8606
52 4281 3332 5403 8751
53 4449 3409 5522 8954
54 4640 3474 5592 8973
55 4756 3587 5739 9168
56 4946 3691 5945 9273
57 5131 3783 6016 9395
58 5275 3825 6135 9628
59 5397 3851 6280 9707
60 5531 4005 6470 9916
61 5731 4090 6594 9796
62 5912 4064 6781 9909
63 6087 4175 6869 10212
64 6368 4337 7147 10511
65 6435 4432 7142 10799
66 6627 4430 7278 10663
67 6813 4492 7419 10640
68 7105 4653 7533 10875
69 7076 4730 7702 10907
70 7347 4763 7855 11174
71 7626 4879 8013 11615
72 8128 5088 8171 11811
73 8089 5051 8288 11393
74 8234 5107 8488 11831
75 8454 5218 8617 12041
76 8573 5317 8669 11734
77 8810 5375 8802 12222
78 9488 6276 9567 12782
79 9145 5564 9135 12043
80 9351 5594 9270 12355
81 9619 5720 9375 12532
82 9807 5763 9564 12627
83 10117 5843 9700 13023
84 10355 5938 9941 12967
85 10533 6081 10012 13250
86 11620 6396 10759 13958
87 10901 6161 10404 13684
88 11336 6254 10501 13461
89 11597 6390 10651 13986
90 11718 6416 10750 13976
91 11904 6480 10913 13205
92 12190 6551 11084 13303
93 12455 6692 11199 13900
94 12913 6756 11506 13895
95 12934 6851 11610 14153
96 13243 7065 11798 14730
97 13513 6998 11859 14539
98 13841 7048 12000 14531
99 14101 7184 12127 14677
100 14271 7302 12292 14943
